brcode,tran_type,d_date,tran_month,item_code,qty,day,month,year,quarter,week,day_type
109,Sale,2016-04-04,April,233539,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,233539,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,206115,5,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,203999,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,206115,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,8,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,7,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,323007,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,2,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,7,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,233384,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,10,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,298416,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,233539,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,12,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,4,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,8,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,6,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,201975,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,5,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,8,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,202470,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,4,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,206115,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,3,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,206115,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,202470,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,228187,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,2,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,8,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,2,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,201975,8,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,233384,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,10,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,233539,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,6,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,323007,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,202470,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,208501,3,4,4,2016,1,14,weekday
3,Sale,2016-04-04,April,208501,12,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,310183,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,4,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,319048,5,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,206115,1,4,4,2016,1,14,weekday
109,Sale,2016-04-04,April,298416,1,4,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,3,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,5,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,6,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,6,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,233384,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,324411,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,3,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,201975,7,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,233539,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,1,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,203999,10,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,203999,5,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,298416,2,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,233384,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,4,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,298416,2,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,6,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,202470,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,5,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,1,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,202470,0.8,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,5,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,201975,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,322913,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,323007,2,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,3,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,208501,5,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,228187,1,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,1,5,4,2016,1,14,weekday
